correct,format,problem,response,response_time,size,subject_nr,truth,,,,
1,word,eight,+,two,=,nine,l,1433,small,999,F
1,word,four,+,two,=,seven,l,2406,small,999,F
1,word,seven,+,nine,=,fifteen,l,2131,large,999,F
0,word,five,+,eight,=,thirteen,l,1815,large,999,T
1,digit,4,+,4,=,8,a,792,small,999,T
1,digit,7,+,4,=,11,a,2197,large,999,T
1,word,two,+,five,=,seven,a,1306,small,999,T
1,word,six,+,four,=,ten,a,1712,small,999,T
1,digit,9,+,6,=,15,a,1082,large,999,T
1,digit,3,+,3,=,4,l,852,small,999,F
1,digit,6,+,6,=,14,l,918,large,999,F
1,digit,8,+,9,=,17,a,1174,large,999,T
1,digit,2,+,7,=,8,l,1202,small,999,F
1,word,eight,+,eight,=,sixteen,a,1640,large,999,T
1,digit,3,+,7,=,10,a,981,small,999,T
1,word,eight,+,six,=,eighteen,l,1650,large,999,F
1,word,nine,+,two,=,six,l,1636,small,999,F
1,digit,2,+,9,=,12,l,970,small,999,F
1,digit,3,+,4,=,5,l,1190,small,999,F
1,digit,9,+,5,=,14,a,1057,large,999,T
1,digit,2,+,2,=,4,a,696,small,999,T
1,digit,8,+,4,=,12,a,1174,large,999,T
1,word,two,+,seven,=,five,l,2153,small,999,F
1,word,six,+,six,=,twelve,a,859,large,999,T
1,digit,3,+,2,=,7,l,1339,small,999,F
1,digit,5,+,5,=,10,a,656,small,999,T
1,word,six,+,nine,=,sixteen,l,2006,large,999,F
1,word,nine,+,three,=,thirteen,l,1442,large,999,F
1,word,four,+,five,=,nine,a,1766,small,999,T
